num,keywords,_description,year,_date,Artstor Classification[35275],Work Type[35276],Repository[35277],id,Creation/Discovery Site[35280],Country[35284],_source,Source[35288]
3916960,Plaster,Plaster fragments and drawings; inscription #501 DOPKAC|Temple of Azzanathkona,1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e77~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,_organization
3916959,Gypsum,Gypsum inscription (part of #556) from e7|Praetorium,1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e73~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3916958,Altar,"Altar from g1, b court with inscription CUN / THEO (#404)|Private house, shop",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e59b~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3916957,Altar,"Altar from g1, b court with inscription KURI / LLA (#404)|Private house, shop",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e59a~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3916956,Chemin,"Chemin de Ronde, curtain 14-15|SW angle",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e31~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3916955,View,"View of SW angle of Tower 14 after excavating, through Sanctuary of Aphlad.|Tower 14, Temple of Aphlad",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e26~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3916954,Plan,"Plan of excavation of block g2|Private houses, shops",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e16~01,Dura Europos (Salahiyeh),Syria,Image source plan/drawing/reconstruction|Image type glass negative|Condition of photo intact,Data from Yale University
3916953,Plan,"Plan of excavations at g1|Private houses, shops",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e14b~01,Dura Europos (Salahiyeh),Syria,Image source plan/drawing/reconstruction|Image type glass negative|Condition of photo intact,Data from Yale University
3916952,Figures,"Figures of animals cow, lion, horse|Private houses            ",1931,Date of Photography 1931-1932,Architecture and City Planning|Sculpture and Installations,,Yale University Art Gallery,dura-e116~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3916210,Graffito,"Graffito of 2 men and inscription (#426), drawing|Temple of Aphlad/private house",1931,Date of Photography 1931-1932 or 1932-1933,Architecture and City Planning,,Yale University Art Gallery,dura-e357~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo broken,Data from Yale University
3916209,Arch,Arch in Christian baptistry|Christian Building            ,1931,Date of Photography 1931-1932 or 1932-1933,Architecture and City Planning,,Yale University Art Gallery,dura-e313~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type film negative|Condition of photo intact,Data from Yale University
3916208,Christian,"Christian baptistry, S side, W end, borders of paintings at doorway, above, remains of Paradise scene|Christian Building            ",1931,Date of Photography 1931-1932 or 1932-1933,Architecture and City Planning,,Yale University Art Gallery,dura-e312~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type film negative|Condition of photo intact,Data from Yale University
3916207,Graffito/inscription,"Graffito/inscription (#506), with many names|Temple of Azzanathkona",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e193~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896834,Plaster,Plaster Parthian head            ,1931,Date of Photography 1931-1932,Architecture and City Planning|Sculpture and Installations,,Yale University Art Gallery,dura-e99~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896833,Terra,Terra cotta head|SW angle            ,1931,Date of Photography 1931-1932,Architecture and City Planning|Sculpture and Installations,,Yale University Art Gallery,dura-e98~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896832,Bust,Bust of a man|Center of Agora            ,1931,Date of Photography 1931-1932,Architecture and City Planning|Sculpture and Installations,,Yale University Art Gallery,dura-e97~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896831,Parthian,"Parthian head of a man|Private house, shop            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e96~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type film negative|Condition of photo intact,Data from Yale University
3896830,Relief,"Relief of Herakles|Private house, shop            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e95~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896829,Gypsum,Gypsum torso of a man|Private house            ,1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e94~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896828,Draped,"Draped statue of child, lower half|Private house, shop            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e92~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896827,Draped,"Draped statue|Private house, shop            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e91~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896826,Dipinto,Dipinto of boar hunt|Temple of Azzanathkona            ,1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e90~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896825,Plan,Plan of Praetorium|Praetorium            ,1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e9~01,Dura Europos (Salahiyeh),Syria,Image source plan/drawing/reconstruction|Image type glass negative|Condition of photo intact,Data from Yale University
3896824,Ink,"Ink graffito, lion hunt with inscription|Temple of Azzanathkona            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e89~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896823,Graffito,Graffito to right of dipinto of bird cult (#440)|Temple of Aphlad,1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e88~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896822,Fresco,"Fresco of Bird cult, close up|Temple of Aphlad            ",1931,Date of Photography 1931-1932,Architecture and City Planning|Paintings,,Yale University Art Gallery,dura-e87b~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896821,Fresco,"Fresco of Bird cult, view of wall|Temple of Aphlad            ",1931,Date of Photography 1931-1932,Architecture and City Planning|Paintings,,Yale University Art Gallery,dura-e87a~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896820,Ink,"Ink graffito, cult scene, E wall, Temple of Azzanathkona|Temple of Azzanathkona            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e86b~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896819,Ink,"Ink graffito, cult scene, E wall, Temple of Azzanathkona|Temple of Azzanathkona            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e86a~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896818,Sassanian,"Sassanian fresco, reconstruction of main figure|House of Frescoes            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e85~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896817,Sassanian,Sassanian fresco reconstruction/line drawing|House of Frescoes            ,1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e84~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896816,Sassanian,"Sassanian fresco, detail|House of Frescoes            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e83~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896815,Sassanian,"Sassanian fresco, detail|House of Frescoes            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e82~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
3896814,Sassanian,"Sassanian fresco, detail|House of Frescoes            ",1931,Date of Photography 1931-1932,Architecture and City Planning,,Yale University Art Gallery,dura-e81~01,Dura Europos (Salahiyeh),Syria,Image source Dura field photo|Image type glass negative|Condition of photo intact,Data from Yale University
